outer_postcode,region,lat,long
BN91,BN,0,0
EH77,EH,0,0
S94,S,0,0
IM3,IM,0,0
GY4,GY,0,0
IM5,IM,0,0
JE4,JE,0,0
GY9,GY,0,0
KW3,KW,58.3064742972973,-3.28044508108108
JE2,JE,0,0
IM8,IM,0,0
GY1,GY,0,0
KA9,KA,55.4972294363636,-4.60533346136364
GY2,GY,0,0
IM99,IM,0,0
JE3,JE,0,0
KW2,KW,58.3482575,-3.164491
GY5,GY,0,0
SR43,SR,0,0
GY10,GY,0,0
GY8,GY,0,0
PH17,PH,56.6861204615385,-4.37605553846154
PO24,PO,0,0
IM4,IM,0,0
GY7,GY,0,0
IM1,IM,0,0
JE1,JE,0,0
IM6,IM,0,0
KW7,KW,58.1868018,-3.5017754
PA73,PA,56.4966395,-6.18361616666667
IM2,IM,0,0
M32,M,53.4509170702542,-2.30957922571001
GY3,GY,0,0
EH40,EH,55.9907587727272,-2.66212331818182
GY6,GY,0,0
EN77,EN,0,0
IM7,IM,0,0
FK6,FK,56.0212401020408,-3.91538069970846
KA10,KA,55.5504217393365,-4.64772102843602
GIR,GIR,0,0
IM9,IM,0,0
AB38,AB,57.4863755092024,-3.22652750920245
SS16,SS,51.5626221972049,0.452008861801242
TR24,TR,49.9554403529412,-6.33531882352941
LL19,LL,53.3311520993266,-3.4105142929293
CM8,CM,51.8054402908046,0.63734476091954
HS4,HS,57.8696368,-6.694676
FY8,FY,53.7507762639875,-3.00241114578408
ME99,ME,51.278325,0.5191
SG18,SG,52.0824953252361,-0.264468865047234
S4,S,53.400954264214,-1.4496887826087
LD4,LD,52.1178370892857,-3.556805
SG17,SG,52.0346410991958,-0.335624037533512
PR6,PR,53.6677282706334,-2.61187391650672
NN7,NN,52.2083288719212,-0.928643635467981
TN37,TN,50.8722852764045,0.557246471910113
NE40,NE,54.9659614990021,-1.77431117165669
CF46,CF,51.6647728179191,-3.30063125144509
DT1,DT,50.7118552017766,-2.44481702664975
NG14,NG,53.0179616963637,-1.03899573818182
B24,B,52.5196088719298,-1.8271448245614
TQ12,TQ,50.5293456599407,-3.61223913649851
EC3V,ECV,51.5129759761905,-0.085872571428571
B49,B,52.2177106767956,-1.86732228176795
LN8,LN,53.3748280510046,-0.326433761978362
WD17,WD,51.6639025570934,-0.405517961937716
CH41,CH,53.3941914948979,-3.03264888137755
TW7,TW,51.4730101746442,-0.33582793919793
IP4,IP,52.0604287515924,1.18021466878981
NP19,NP,51.5883412533452,-2.96377553345228
BA1,BA,51.3928139923125,-2.36124722869955
WR15,WR,52.305304,-2.5690532690763
LL22,LL,53.2678829501558,-3.59774041588785
IV44,IV,57.1087692,-5.8830102
LA1,LA,54.0467010798816,-2.7994669489645
BL7,BL,53.6317752173913,-2.42238470750988
YO21,YO,54.4769737767723,-0.711291954751132
PE23,PE,53.1727243989637,0.088787116580311
WC2N,WCN,51.5090659463088,-0.124910704697987
PL26,PL,50.3449035831382,-4.82742594613583
NR21,NR,52.8412771889169,0.85258808816121
G5,G,55.8476401710915,-4.25183073451327
IV51,IV,57.474966419214,-6.2438345720524
LL39,LL,52.7101025789474,-4.01231026315789
HP22,HP,51.8073146043578,-0.768880722477065
LD7,LD,52.3510563299493,-3.09226798984772
IV55,IV,57.4561906964286,-6.60980033928572
EH19,EH,55.8724086836983,-3.10509704379562
OX2,OX,51.7658063935231,-1.28073517860648
B33,B,52.4802719869754,-1.78841016787265
SM2,SM,51.3518311165541,-0.198793657094595
EX7,EX,50.5842167106918,-3.47027342138365
G78,G,55.7928444648094,-4.41000870381231
N81,N,51.5663143333333,-0.076735333333333
GL17,GL,51.854980228471,-2.51027038137083
B25,B,52.4652989775281,-1.82166028464419
PA24,PA,56.1583886,-4.90445313333333
ST13,ST,53.1009891925133,-2.01933080106952
AB32,AB,57.1551149387187,-2.31851415320334
CB8,CB,52.2300266005747,0.42773375
NG21,NG,53.1417101703704,-1.10438207037037
GU9,GU,51.2190966975053,-0.794298826403326
GU2,GU,51.2457617299703,-0.59422472106825
PO15,PO,50.8668498499234,-1.22726747779479
WA8,WA,53.3730433924696,-2.7416336834716
PA25,PA,56.2140003333333,-5.043772
TR14,TR,50.2106496626505,-5.29672918313253
G12,G,55.8805479954407,-4.30065168085107
BT82,BT,54.8264908073137,-7.43019092405063
CF48,CF,51.7416452664871,-3.3715570013459
LS19,LS,53.8597321840278,-1.68396534895833
