outer_postcode	adm2
BN91	WEST_SUSSEX
EH77	EDINBURGH
S94	SHEFFIELD
PO24	PORTSMOUTH
EN77	HERTFORDSHIRE
GY4	GUERNSEY
JE2	JERSEY
GY5	GUERNSEY
GY10	GUERNSEY
GY8	GUERNSEY
GY7	GUERNSEY
GY3	GUERNSEY
GY6	GUERNSEY
JE3	JERSEY
JE1	JERSEY
BT66	ARMAGH_BANBRIDGE_AND_CRAIGAVON
BT47	DERRY_AND_STRABANE
BT23	LISBURN_AND_CASTLEREAGH|NEWRY_MOURNE_AND_DOWN|NORTH_DOWN_AND_ARDS
GY2	GUERNSEY
BT34	NEWRY_MOURNE_AND_DOWN
KW3	HIGHLAND
KA9	SOUTH_AYRSHIRE
KW2	HIGHLAND
SR43	SOUTH_TYNESIDE|NORTH_TYNESIDE|NEWCASTLE_UPON_TYNE|SUNDERLAND|GATESHEAD
PH17	PERTHSHIRE_AND_KINROSS
KW7	HIGHLAND
PA73	ARGYLL_AND_BUTE
M32	TRAFFORD
EH40	EAST_LOTHIAN
FK6	STIRLING|FALKIRK|STIRLING|PERTHSHIRE_AND_KINROSS
KA10	SOUTH_AYRSHIRE|ARGYLL_AND_BUTE|EAST_AYRSHIRE|NORTH_AYRSHIRE
AB38	MORAY
SS16	THURROCK|ESSEX
TR24	ISLES_OF_SCILLY
LL19	DENBIGHSHIRE|CONWY|FLINTSHIRE|WREXHAM
CM8	ESSEX
HS4	EILEAN_SIAR
FY8	LANCASHIRE
ME99	KENT
SG18	CENTRAL_BEDFORDSHIRE|BEDFORDSHIRE|HERTFORDSHIRE
S4	SHEFFIELD
LD4	POWYS
SG17	CENTRAL_BEDFORDSHIRE
PR6	BLACKBURN_WITH_DARWEN|LANCASHIRE|BOLTON|BURY|MANCHESTER|OLDHAM|ROCHDALE|SALFORD|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN
NN7	MILTON_KEYNES|NORTHAMPTONSHIRE
TN37	EAST_SUSSEX
NE40	GATESHEAD
CF46	MERTHYR_TYDFIL
DT1	DORSET
NG14	NOTTINGHAMSHIRE
B24	BIRMINGHAM
TQ12	DEVON
EC3V	GREATER_LONDON
B49	WORCESTERSHIRE|WARWICKSHIRE
LN8	LINCOLNSHIRE
WD17	HERTFORDSHIRE
CH41	WIRRAL
TW7	GREATER_LONDON
IP4	SUFFOLK
NP19	NEWPORT
BA1	BATH_AND_NORTH_EAST_SOMERSET|WILTSHIRE
WR15	HEREFORDSHIRE|SHROPSHIRE|WORCESTERSHIRE
LL22	CONWY
IV44	HIGHLAND
LA1	LANCASHIRE
BL7	BLACKBURN_WITH_DARWEN|BOLTON|BURY|MANCHESTER|OLDHAM|ROCHDALE|SALFORD|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|LANCASHIRE
YO21	NORTH_YORKSHIRE
PE23	LINCOLNSHIRE
WC2N	GREATER_LONDON
PL26	CORNWALL
NR21	NORFOLK
G5	GLASGOW
IV51	HIGHLAND
LL39	GWYNEDD
HP22	BUCKINGHAMSHIRE
LD7	SHROPSHIRE|HEREFORDSHIRE|POWYS
IV55	HIGHLAND
EH19	MIDLOTHIAN
OX2	OXFORDSHIRE
B33	BIRMINGHAM
SM2	SURREY|GREATER_LONDON
EX7	DEVON
G78	GLASGOW|EAST_AYRSHIRE|NORTH_AYRSHIRE|INVERCLYDE|EAST_RENFREWSHIRE|RENFREWSHIRE|HIGHLAND
N81	GREATER_LONDON
GL17	HEREFORDSHIRE|GLOUCESTERSHIRE
B25	BIRMINGHAM
PA24	ARGYLL_AND_BUTE
ST13	STAFFORDSHIRE
AB32	ABERDEENSHIRE
CB8	SUFFOLK|CAMBRIDGESHIRE
NG21	NOTTINGHAMSHIRE
GU9	SURREY|HAMPSHIRE
GU2	SURREY
PO15	HAMPSHIRE
WA8	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL|WARRINGTON
PA25	ARGYLL_AND_BUTE
TR14	CORNWALL
G12	GLASGOW
BT82	DERRY_AND_STRABANE
CF48	MERTHYR_TYDFIL
LS19	LEEDS
CT50	KENT
TA15	SOMERSET
RG9	OXFORDSHIRE|BUCKINGHAMSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
LE7	LEICESTERSHIRE
NG23	NOTTINGHAMSHIRE|LINCOLNSHIRE|LEICESTERSHIRE
BT36	ANTRIM_AND_NEWTOWNABBEY
LL56	GWYNEDD
GU18	SURREY
LS9	LEEDS
HP3	HERTFORDSHIRE
SP11	WILTSHIRE|HAMPSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
BH5	BOURNEMOUTH|POOLE
MK6	MILTON_KEYNES
EX16	DEVON
DT3	DORSET
PL12	CORNWALL|DEVON|PLYMOUTH
SY3	SHROPSHIRE
B46	BIRMINGHAM|SOLIHULL|WARWICKSHIRE
N9	GREATER_LONDON
ME3	KENT
ML10	SOUTH_LANARKSHIRE|EAST_AYRSHIRE|NORTH_AYRSHIRE|INVERCLYDE|EAST_RENFREWSHIRE|RENFREWSHIRE
SM7	SURREY|GREATER_LONDON
B45	BIRMINGHAM|WORCESTERSHIRE
M11	TAMESIDE
LS99	LEEDS
PA2	RENFREWSHIRE
RM6	GREATER_LONDON
LN2	LINCOLNSHIRE
PA4	RENFREWSHIRE
LE67	LEICESTERSHIRE
W3	GREATER_LONDON
B28	BIRMINGHAM
RG5	WOKINGHAM
PH2	PERTHSHIRE_AND_KINROSS
NR17	NORFOLK
SW1A	GREATER_LONDON
M26	BURY
CF42	RHONDDA_CYNON_TAFF
WR9	WORCESTERSHIRE
M23	BOLTON|BURY|MANCHESTER|OLDHAM|ROCHDALE|SALFORD|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN
SP3	WILTSHIRE
CA17	CUMBRIA
M16	TRAFFORD|MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|SALFORD|STOCKPORT|TAMESIDE|WIGAN
CA16	CUMBRIA
PH14	PERTHSHIRE_AND_KINROSS
M4	MANCHESTER
BB7	LANCASHIRE
NP16	MONMOUTHSHIRE|NEWPORT|GLOUCESTERSHIRE|BATH_AND_NORTH_EAST_SOMERSET|NORTH_SOMERSET|SOUTH_GLOUCESTERSHIRE
BS28	SOMERSET
NW9	GREATER_LONDON
BA13	WILTSHIRE
WS5	SANDWELL|WALSALL
RG26	WEST_BERKSHIRE|HAMPSHIRE
B68	SANDWELL
TQ3	DEVON
S80	ROTHERHAM|DERBYSHIRE|NOTTINGHAMSHIRE
SW95	GREATER_LONDON
N17	GREATER_LONDON
ML11	WEST_LOTHIAN|EAST_AYRSHIRE|NORTH_AYRSHIRE|SOUTH_LANARKSHIRE|DUMFRIES_AND_GALLOWAY|SCOTTISH_BORDERS|NORTH_LANARKSHIRE
CF99	CARDIFF
E20	GREATER_LONDON
TA22	SOMERSET
CF45	RHONDDA_CYNON_TAFF
BA21	SOMERSET
SK23	DERBYSHIRE|CHESHIRE_EAST
PA36	ARGYLL_AND_BUTE
G20	GLASGOW
SO22	HAMPSHIRE
NE48	NORTHUMBERLAND
HU12	KINGSTON_UPON_HULL|EAST_RIDING_OF_YORKSHIRE
WD25	HERTFORDSHIRE
PO31	ISLE_OF_WIGHT
LS17	LEEDS|NORTH_YORKSHIRE
HU7	KINGSTON_UPON_HULL|EAST_RIDING_OF_YORKSHIRE
WS13	STAFFORDSHIRE
LE87	LEICESTER
BR1	GREATER_LONDON
IG9	GREATER_LONDON|ESSEX
PH34	HIGHLAND
GL13	GLOUCESTERSHIRE
B32	BIRMINGHAM
EC4N	GREATER_LONDON
EH39	EAST_LOTHIAN
EH11	EDINBURGH
DL9	NORTH_YORKSHIRE
ST19	SHROPSHIRE|STAFFORDSHIRE
BD23	NORTH_YORKSHIRE
KA13	NORTH_AYRSHIRE
AB99	ABERDEEN
M35	OLDHAM
WS1	SANDWELL
NE62	NORTHUMBERLAND
CM1	ESSEX
TN1	KENT
GU46	HAMPSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
N11	GREATER_LONDON
BT35	ARMAGH_BANBRIDGE_AND_CRAIGAVON
SE19	GREATER_LONDON
S14	SHEFFIELD
KA17	EAST_AYRSHIRE
PE29	CAMBRIDGESHIRE
DL17	DURHAM
WD7	HERTFORDSHIRE
PA31	ARGYLL_AND_BUTE
SA6	SWANSEA
S6	SHEFFIELD
PA26	ARGYLL_AND_BUTE
TS1	MIDDLESBROUGH
G43	GLASGOW
BN52	BRIGHTON_AND_HOVE
TS7	NORTH_YORKSHIRE
GU10	SURREY|HAMPSHIRE
BB10	LANCASHIRE
E16	GREATER_LONDON
PO3	PORTSMOUTH|HAMPSHIRE
NR31	SUFFOLK|NORFOLK
PA5	RENFREWSHIRE
RM12	GREATER_LONDON
DG4	DUMFRIES_AND_GALLOWAY
CT20	KENT
PO39	ISLE_OF_WIGHT
LL74	ANGLESEY
KY11	FIFE
BA4	SOMERSET
OX28	OXFORDSHIRE
LL37	GWYNEDD
BT44	MID_ULSTER|CAUSEWAY_COAST_AND_GLENS|MID_AND_EAST_ANTRIM
BS34	BATH_AND_NORTH_EAST_SOMERSET|NORTH_SOMERSET|SOUTH_GLOUCESTERSHIRE|BRISTOL
PA66	ARGYLL_AND_BUTE
BD11	BRADFORD|CALDERDALE|KIRKLEES|LEEDS
LL18	CONWY|DENBIGHSHIRE|FLINTSHIRE|WREXHAM
BH10	DORSET
AB51	ABERDEENSHIRE
PA75	ARGYLL_AND_BUTE
CT12	KENT
BS41	SOMERSET
G81	WEST_DUNBARTONSHIRE|EAST_DUNBARTONSHIRE|INVERCLYDE|EAST_RENFREWSHIRE|RENFREWSHIRE|PERTHSHIRE_AND_KINROSS|STIRLING|GLASGOW
BS36	SOUTH_GLOUCESTERSHIRE|BATH_AND_NORTH_EAST_SOMERSET|SOUTH_GLOUCESTERSHIRE|NORTH_SOMERSET
KY16	FIFE
SK15	TAMESIDE
KT24	SURREY
L3	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
TR3	CORNWALL
MK11	MILTON_KEYNES|NORTHAMPTONSHIRE
CA22	CUMBRIA
PL15	DEVON|CORNWALL
IV27	HIGHLAND
WV10	WOLVERHAMPTON|STAFFORDSHIRE
LN9	LINCOLNSHIRE
ME17	KENT
CA18	CUMBRIA
EH10	MIDLOTHIAN|EDINBURGH
TN14	KENT
EH52	WEST_LOTHIAN|EDINBURGH
LL25	CONWY
SP7	WILTSHIRE|DORSET
DA17	GREATER_LONDON
L34	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
SS9	ESSEX
EC2P	GREATER_LONDON
GU30	WEST_SUSSEX|HAMPSHIRE
NP22	BLAENAU_GWENT|CAERPHILLY
SA99	SWANSEA
EX13	SOMERSET|DEVON|DORSET
DY10	WORCESTERSHIRE
SG16	CENTRAL_BEDFORDSHIRE|HERTFORDSHIRE
PR9	LANCASHIRE|SEFTON
BN1	WEST_SUSSEX|EAST_SUSSEX|BRIGHTON_AND_HOVE
GL16	GLOUCESTERSHIRE
E13	GREATER_LONDON
NE36	SOUTH_TYNESIDE|NORTH_TYNESIDE|NEWCASTLE_UPON_TYNE|SUNDERLAND|GATESHEAD
UB18	GREATER_LONDON
HD1	KIRKLEES
BA3	BATH_AND_NORTH_EAST_SOMERSET|SOMERSET
S95	BARNSLEY|DONCASTER|ROTHERHAM|SHEFFIELD
CF44	MERTHYR_TYDFIL|NEATH_PORT_TALBOT|RHONDDA_CYNON_TAFF|POWYS
BS22	BRISTOL|BATH_AND_NORTH_EAST_SOMERSET|NORTH_SOMERSET|SOUTH_GLOUCESTERSHIRE
SE27	GREATER_LONDON
CA14	CUMBRIA
